#time, encoder, angular velocity, steering angle
16.069049, 5548061, 0.444042, 0.401730
16.101199, 5549605, 0.434444, 0.392772
16.135160, 5551251, 0.429784, 0.384093
16.169487, 5552852, 0.388914, 0.377095
16.201984, 5554457, 0.375454, 0.370376
16.235516, 5556124, 0.411502, 0.363937
16.269165, 5557736, 0.391890, 0.357218
16.301119, 5559345, 0.399550, 0.350779
16.335387, 5561015, 0.381735, 0.343780
16.369838, 5562641, 0.380389, 0.336502
16.401926, 5564325, 0.387122, 0.328663
16.435344, 5565949, 0.343095, 0.320824
16.469043, 5567575, 0.330500, 0.312706
16.501654, 5569208, 0.349293, 0.304587
16.535112, 5570903, 0.362184, 0.295909
16.569339, 5572556, 0.349272, 0.287510
16.601953, 5574261, 0.308751, 0.278832
16.635746, 5575936, 0.332008, 0.270713
16.668856, 5577629, 0.323203, 0.262874
16.701503, 5579326, 0.309335, 0.254756
16.735598, 5581075, 0.327797, 0.246357
16.769363, 5582766, 0.299697, 0.237959
16.801289, 5584463, 0.275142, 0.229280
16.835400, 5586214, 0.284278, 0.219762
16.869368, 5587916, 0.269187, 0.209684
16.902185, 5589606, 0.249659, 0.198766
16.935311, 5591361, 0.249829, 0.187568
16.969412, 5593063, 0.238514, 0.176090
17.002664, 5594810, 0.220915, 0.164052
17.034751, 5596477, 0.220380, 0.152294
17.069269, 5598140, 0.188057, 0.140816
17.101272, 5599813, 0.185035, 0.129338
17.135131, 5601529, 0.161607, 0.118699
17.174593, 5603200, 0.161276, 0.108621
17.201334, 5604863, 0.176036, 0.099663
17.235155, 5606582, 0.128489, 0.091264
17.268621, 5608246, 0.129798, 0.084825
17.301112, 5609929, 0.128653, 0.079506
17.335677, 5611679, 0.093117, 0.075587
17.368611, 5613390, 0.090140, 0.072787
17.402164, 5615119, 0.118223, 0.071108
17.435333, 5616911, 0.110278, 0.071108
17.468892, 5618644, 0.084480, 0.071108
17.501558, 5620401, 0.114208, 0.071108
17.535456, 5622237, 0.097169, 0.071388
17.569705, 5624024, 0.094048, 0.071388
17.602024, 5625864, 0.070145, 0.071388
17.635654, 5627669, 0.085476, 0.071668
17.669003, 5629468, 0.093166, 0.071948
17.701790, 5631265, 0.111871, 0.072227
17.734937, 5633126, 0.112631, 0.072507
17.769257, 5634940, 0.105090, 0.072507
17.802063, 5636761, 0.088068, 0.072507
17.835411, 5638638, 0.080458, 0.072507
17.867921, 5640471, 0.063790, 0.072507
17.901452, 5642298, 0.088815, 0.072507
17.934973, 5644175, 0.077694, 0.072507
17.968568, 5645994, 0.119914, 0.072507
18.002487, 5647884, 0.116616, 0.072507
18.035408, 5649722, 0.121268, 0.072507
18.068304, 5651568, 0.089008, 0.072507
18.102545, 5653398, 0.079277, 0.072507
18.135113, 5655266, 0.093408, 0.072507
18.169205, 5657080, 0.078801, 0.072507
18.202578, 5658888, 0.104846, 0.072507
18.235467, 5660753, 0.079388, 0.072507
18.268550, 5662561, 0.084352, 0.072507
18.301394, 5664374, 0.120349, 0.072507
18.335272, 5666256, 0.097526, 0.072507
18.369098, 5668071, 0.099202, 0.072507
18.402575, 5669930, 0.088491, 0.072507
18.435135, 5671728, 0.102732, 0.072507
18.469137, 5673506, 0.079558, 0.072507
18.500931, 5675287, 0.100143, 0.072507
18.535614, 5677127, 0.082430, 0.072507
18.568658, 5678907, 0.097748, 0.072507
18.602867, 5680784, 0.089509, 0.072507
18.635696, 5682484, 0.108048, 0.072507
18.669532, 5684246, 0.108636, 0.072507
18.701347, 5686006, 0.073352, 0.072507
18.735562, 5687824, 0.089211, 0.072507
18.770195, 5689569, 0.094388, 0.072507
18.802180, 5691356, 0.105993, 0.072507
18.835445, 5693084, 0.081295, 0.072507
18.869710, 5694815, 0.095814, 0.072507
18.901752, 5696543, 0.096895, 0.072507
18.934864, 5698323, 0.075193, 0.072507
18.968504, 5700050, 0.077650, 0.072507
19.002014, 5701820, 0.074442, 0.072507
19.035593, 5703538, 0.104694, 0.072507
19.068960, 5705245, 0.097908, 0.072507
19.101416, 5706950, 0.078694, 0.072507
19.135161, 5708700, 0.080753, 0.072507
19.169223, 5710392, 0.100250, 0.072787
19.201660, 5712088, 0.063401, 0.072787
19.235050, 5713839, 0.089448, 0.072787
19.268957, 5715546, 0.079415, 0.073067
19.301134, 5717252, 0.109901, 0.073627
19.336033, 5719006, 0.077247, 0.074467
19.368424, 5720729, 0.101816, 0.075307
19.401418, 5722456, 0.095431, 0.076147
19.434762, 5724247, 0.106646, 0.077547
19.468808, 5725979, 0.091694, 0.079506
19.501069, 5727724, 0.078805, 0.081746
19.535505, 5729528, 0.109298, 0.085105
19.568653, 5731279, 0.104908, 0.088745
19.602882, 5733034, 0.096997, 0.092944
19.635551, 5734848, 0.085192, 0.097703
19.668857, 5736614, 0.119777, 0.102182
19.701528, 5738380, 0.131772, 0.107221
19.734907, 5740213, 0.143804, 0.112820
19.769495, 5741982, 0.117832, 0.118699
19.803018, 5743865, 0.136058, 0.125418
19.835662, 5745591, 0.143550, 0.132977
19.868366, 5747375, 0.169838, 0.142215
19.901855, 5749172, 0.178871, 0.151454
19.935346, 5751026, 0.168839, 0.162092
19.968819, 5752828, 0.181054, 0.173290
20.002141, 5754641, 0.192235, 0.185328
20.035532, 5756527, 0.207502, 0.197366
20.069183, 5758368, 0.223213, 0.209404
20.101357, 5760229, 0.236570, 0.221162
20.135979, 5762170, 0.239055, 0.232640
20.168683, 5764074, 0.283458, 0.242998
20.201470, 5765992, 0.299503, 0.252796
20.234852, 5767976, 0.315296, 0.262035
20.270038, 5769913, 0.329994, 0.269873
20.301164, 5771858, 0.348711, 0.276592
20.335465, 5773876, 0.360158, 0.282751
20.369306, 5775821, 0.359581, 0.287790
20.401141, 5777755, 0.364895, 0.291989
20.435563, 5779727, 0.365183, 0.295909
20.469270, 5781635, 0.399286, 0.298988
20.501313, 5783519, 0.386657, 0.301788
20.535456, 5785460, 0.386749, 0.304587
20.569012, 5787346, 0.381440, 0.306827
20.602801, 5789241, 0.358676, 0.308787
20.635346, 5791186, 0.407539, 0.311026
20.669409, 5793072, 0.426797, 0.312986
20.704687, 5794959, 0.371529, 0.315225
20.735058, 5796856, 0.400809, 0.317745
20.769502, 5798818, 0.391460, 0.320544
